index;SITIO;FECHA;HORA;playlist;Tipo;Valor
37;2;7/04/2024;20:22:00;26;T3; DIS
37;2;7/04/2024;20:23:00;26;T4; SIL
37;2;7/04/2024;20:24:00;26;T5; RES
37;2;7/04/2024;20:25:00;26;T6; SIL
37;2;7/04/2024;20:26:00;26;T7;DIS
37;2;7/04/2024;20:27:00;26;T8; SIL
37;2;7/04/2024;20:28:00;26;T9; RES
37;2;7/04/2024;20:29:00;26;T10; SIL
37;2;7/04/2024;20:30:00;26;T11; RUI
76;3;11/04/2024;21:20:00;26;T1;RUI
76;3;11/04/2024;21:21:00;26;T2; SIL
76;3;11/04/2024;21:22:00;26;T3; DIS
76;3;11/04/2024;21:23:00;26;T4; SIL
76;3;11/04/2024;21:24:00;26;T5; RES
76;3;11/04/2024;21:25:00;26;T6; SIL
76;3;11/04/2024;21:26:00;26;T7;DIS
76;3;11/04/2024;21:27:00;26;T8; SIL
76;3;11/04/2024;21:28:00;26;T9; RES
76;3;11/04/2024;21:29:00;26;T10; SIL
76;3;11/04/2024;21:30:00;26;T11; RUI
42;2;7/04/2024;22:00:00;26;T1;RUI
42;2;7/04/2024;22:01:00;26;T2; SIL
42;2;7/04/2024;22:02:00;26;T3; DIS
42;2;7/04/2024;22:03:00;26;T4; SIL
42;2;7/04/2024;22:04:00;26;T5; RES
42;2;7/04/2024;22:05:00;26;T6; SIL
42;2;7/04/2024;22:06:00;26;T7;DIS
42;2;7/04/2024;22:07:00;26;T8; SIL
42;2;7/04/2024;22:08:00;26;T9; RES
42;2;7/04/2024;22:09:00;26;T10; SIL
42;2;7/04/2024;22:10:00;26;T11; RUI
73;3;11/04/2024;20:20:00;27;T1;RES
73;3;11/04/2024;20:21:00;27;T2; SIL
73;3;11/04/2024;20:22:00;27;T3; DIS
73;3;11/04/2024;20:23:00;27;T4; SIL 
73;3;11/04/2024;20:24:00;27;T5;RUI
73;3;11/04/2024;20:25:00;27;T6; SIL
73;3;11/04/2024;20:26:00;27;T7; DIS
73;3;11/04/2024;20:27:00;27;T8; SIL
73;3;11/04/2024;20:28:00;27;T9; RUI
73;3;11/04/2024;20:29:00;27;T10; SIL
73;3;11/04/2024;20:30:00;27;T11;  RES
38;2;7/04/2024;20:40:00;27;T1;RES
38;2;7/04/2024;20:41:00;27;T2; SIL
38;2;7/04/2024;20:42:00;27;T3; DIS
38;2;7/04/2024;20:43:00;27;T4; SIL 
38;2;7/04/2024;20:44:00;27;T5;RUI
38;2;7/04/2024;20:45:00;27;T6; SIL
38;2;7/04/2024;20:46:00;27;T7; DIS
38;2;7/04/2024;20:47:00;27;T8; SIL
38;2;7/04/2024;20:48:00;27;T9; RUI
38;2;7/04/2024;20:49:00;27;T10; SIL
38;2;7/04/2024;20:50:00;27;T11;  RES
74;3;11/04/2024;20:40:00;28;T1;RUI
74;3;11/04/2024;20:41:00;28;T2; SIL
74;3;11/04/2024;20:42:00;28;T3; RES
74;3;11/04/2024;20:43:00;28;T4; SIL
74;3;11/04/2024;20:44:00;28;T5; DIS
74;3;11/04/2024;20:45:00;28;T6; SIL
74;3;11/04/2024;20:46:00;28;T7; DIS
74;3;11/04/2024;20:47:00;28;T8; SIL
