;Audio;TIPO;Group_x;ID_leaf_x;PlaylistID;Response;Tratamiento_significado;Delta Time (s);SNR NIST Quick (dB);segmento;Global_Code_LINEABASE;Global_Code_PARENTESCO;Global_Code_ASOCIACION;parentesco;asociacion;riesgo
69;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1043;38.19;L2;6;46;81;NP;NOAS;
70;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0942;34.55;L2;6;46;81;NP;NOAS;
71;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1356;31.72;L2;6;46;81;NP;NOAS;
72;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1363;35.3;L2;6;46;81;NP;NOAS;
73;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0657;25.87;L2;6;46;81;NP;NOAS;
74;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0677;33.36;L2;6;46;81;NP;NOAS;
75;2;E;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0888;12.05;L2;6;46;81;NP;NOAS;
76;2;E;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0595;13.05;L2;6;46;81;NP;NOAS;
77;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1466;31.66;L2;6;46;81;NP;NOAS;
78;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1043;37.66;L2;6;46;81;NP;NOAS;
79;2;O;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0176;26.42;L2;6;46;81;NP;NOAS;
80;2;O;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0334;31.93;L2;6;46;81;NP;NOAS;
81;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.138;39.69;L2;6;46;81;NP;NOAS;
82;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.148;39.2;L2;6;46;81;NP;NOAS;
83;2;O;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0434;11.76;L2;6;46;81;NP;NOAS;
84;2;O;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0265;16.49;L2;6;46;81;NP;NOAS;
85;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1026;32.79;L2;6;46;81;NP;NOAS;
86;2;R*;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.053;31.06;L2;6;46;81;NP;NOAS;
87;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1803;23.06;L2;6;46;81;NP;NOAS;
88;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1439;29.61;L2;6;46;81;NP;NOAS;
89;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.053;25.0;L2;6;46;81;NP;NOAS;
90;2;R*;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1342;12.28;L2;6;46;81;NP;NOAS;
91;2;R*;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0619;13.36;L2;6;46;81;NP;NOAS;
92;2;R*;5;982126058484301;Gr5_4301_1;si;P-A;0.0227;16.27;L3;6;46;81;P;A;
93;2;E;5;982126058484301;Gr5_4301_1;si;P-A;0.0654;13.1;L3;6;46;81;P;A;
94;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1583;38.78;L3;6;46;81;P;A;
95;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1377;41.79;L3;6;46;81;P;A;
96;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1143;41.18;L3;6;46;81;P;A;
97;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1091;37.39;L3;6;46;81;P;A;
98;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0774;32.12;L3;6;46;81;P;A;
99;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.057;27.97;L3;6;46;81;P;A;
100;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.065;21.41;L3;6;46;81;P;A;
101;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1094;36.46;L3;6;46;81;P;A;
102;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1459;39.26;L3;6;46;81;P;A;
103;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1187;37.34;L3;6;46;81;P;A;
104;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1122;39.05;L3;6;46;81;P;A;
105;2;R*;5;982126058484301;Gr5_4301_1;si;P-A;0.0768;32.63;L3;6;46;81;P;A;
106;2;R*;5;982126058484301;Gr5_4301_1;si;P-A;0.0547;27.15;L3;6;46;81;P;A;
107;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.091;37.94;L3;6;46;81;P;A;
108;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0885;38.27;L3;6;46;81;P;A;
109;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0764;36.59;L3;6;46;81;P;A;
110;2;R*;5;982126058484301;Gr5_4301_1;si;P-A;0.0746;27.61;L3;6;46;81;P;A;
111;2;R*;5;982126058484301;Gr5_4301_1;si;P-A;0.0472;24.49;L3;6;46;81;P;A;
112;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1156;35.7;L3;6;46;81;P;A;
113;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1167;39.57;L3;6;46;81;P;A;
114;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1218;39.09;L3;6;46;81;P;A;
115;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1359;37.51;L3;6;46;81;P;A;
116;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0812;28.09;L3;6;46;81;P;A;
117;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.2224;35.28;L3;6;46;81;P;A;
118;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1573;37.33;L3;6;46;81;P;A;
119;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1284;27.06;L3;6;46;81;P;A;
120;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1094;20.2;L3;6;46;81;P;A;
121;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0389;13.05;L3;6;46;81;P;A;
122;2;R*;5;982126058484301;Gr5_4301_1;si;P-A;0.0988;28.28;L3;6;46;81;P;A;
123;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1002;35.52;L3;6;46;81;P;A;
124;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0771;26.86;L3;6;46;81;P;A;
125;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.086;25.55;L3;6;46;81;P;A;
126;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1039;28.06;L3;6;46;81;P;A;
127;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1187;35.39;L3;6;46;81;P;A;
128;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1311;40.23;L3;6;46;81;P;A;
129;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0785;35.76;L3;6;46;81;P;A;
130;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0836;30.2;L3;6;46;81;P;A;
131;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0475;16.26;L3;6;46;81;P;A;
132;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1077;41.72;L3;6;46;81;P;A;
133;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1652;44.05;L3;6;46;81;P;A;
134;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1439;42.19;L3;6;46;81;P;A;
135;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.1191;38.83;L3;6;46;81;P;A;
136;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0695;30.8;L3;6;46;81;P;A;
