Group_x,PlaylistID,segmento,codigo_tratamiento,Global_Code_LINEABASE,Global_Code_PARENTESCO,Global_Code_ASOCIACION,Tratamiento_codigo,Tratamiento_significado_x,parentesco_x,asociacion_x,riesgo_x,ID_leaf_x_y,TIPO,orden_segmento,Conteo
3,Gr3_9490_1,A1,J1,19,57,90,J1,P-NOAS_D,P,NOAS,D,900200000279490,R,,0.0
3,Gr3_4334_1,A1,K1,20,58,91,K1,P-A_I,P,A,I,982126058484334,R,91.0,3.0
3,Gr3_4346_1,A1,K1,21,56,92,K1,P-A_I,P,A,I,982126058484346,R,,0.0
11,Gr11_5125_1,A1,K1,22,58,91,K1,P-A_I,P,A,I,982126057845125,R,91.0,25.0
4,Gr4_3072_1,A1,K2,23,59,93,K2,NP-A_I,NP,A,I,982091068563072,R,93.0,8.0
4,Gr4_6209_1,A1,I2,14,60,94,I2,NP-A_D,NP,A,D,982126057846209,R,94.0,10.0
2,Gr2_4287_1,A1,I1,1,42,77,I1,P-A_D,P,A,D,982126058484287,R,,0.0
2,Gr2_6277_1,A1,J1,2,42,78,J1,P-NOAS_D,P,NOAS,D,982126057846227,R,,0.0
2,Gr2_5093_1,A1,I1,3,43,77,I1,P-A_D,P,A,D,982126057845093,R,77.0,2.0
9,Gr9_4277_2,A1,K1,2,61,91,K1,P-A_I,P,A,I,982126058484277,R,,0.0
9,Gr9_4300_2,A1,K1,24,62,95,K1,P-A_I,P,A,I,982126058484300,R,,0.0
9,Gr9_5103_2,A1,I1,24,58,77,I1,P-A_D,P,A,D,982126057845103,R,,0.0
9,Gr9_7919_2,A1,L1,25,63,96,L1,P-NOAS_I,P,NOAS,I,982091068557919,R,,0.0
5,Gr5_5119_2,A1,L2,15,50,97,L2,NP-NOAS_I,NP,NOAS,I,982126057845119,R,97.0,22.0
5,Gr5_4301_2,A1,K2,26,55,98,K2,NP-A_I,NP,A,I,982126058484301,R,98.0,15.0
13,Gr13_8540_2,A1,I2,27,64,94,I2,NP-A_D,NP,A,D,982126051278540,R,,0.0
13,Gr13_8521_2,A1,L2,7,56,97,L2,NP-NOAS_I,NP,NOAS,I,982126051278521,R,,0.0
7,Gr7_5113_2,A1,J2,28,65,82,J2,NP-NOAS_D,NP,NOAS,D,982126057845113,R,,0.0
7,Gr7_5141_2,A1,I2,29,49,99,I2,NP-A_D,NP,A,D,982126057845141,R,,0.0
