Group;ID_leaf;PlaylistID;OPCION;L1;L2;L3;L4;SIL;P1;SIL_1;P2;SIL_2;P3;SIL_3;P4;SIL_4;A1;SIL_5;A2;SIL_6;A3;SIL_7;A4
6;9,82126E+14;Gr6_6231-2;1;B;C;D;C;SIL;H2;SIL_1;E2;SIL_2;G2;SIL_3;F2;SIL_4;L1;SIL_5;J1;SIL_6;K1;SIL_7;I1
1;9,82091E+14;Gr1_4421-2;1;C;D;A;D;SIL;H1;SIL_1;F1;SIL_2;E1;SIL_3;G1;SIL_4;J1;SIL_5;L1;SIL_6;I1;SIL_7;K1
1;9,82126E+14;Gr1_4331-2;1;A;C;D;D;SIL;E1;SIL_1;F1;SIL_2;G1;SIL_3;H1;SIL_4;L2;SIL_5;K2;SIL_6;J2;SIL_7;I2
10;9,82126E+14;Gr10_5921-2;1;C;B;D;D;SIL;G2;SIL_1;H2;SIL_2;E2;SIL_3;F2;SIL_4;I2;SIL_5;L2;SIL_6;K2;SIL_7;J2
10;9,002E+14;Gr10_6430-2;1;C;D;A;C;SIL;F1;SIL_1;H1;SIL_2;G1;SIL_3;E1;SIL_4;I2;SIL_5;L2;SIL_6;J2;SIL_7;K2
10;9,82126E+14;Gr10_5106-2;1;C;A;C;D;SIL;F1;SIL_1;H1;SIL_2;G1;SIL_3;E1;SIL_4;L2;SIL_5;K2;SIL_6;I2;SIL_7;J2
14;9,82126E+14;Gr14_5099-2;1;C;D;D;A;SIL;E1;SIL_1;G1;SIL_2;H1;SIL_3;F1;SIL_4;I2;SIL_5;J2;SIL_6;K2;SIL_7;L2
14;9,82091E+14;Gr14_3556-2;1;D;A;C;D;SIL;E1;SIL_1;G1;SIL_2;F1;SIL_3;H1;SIL_4;L2;SIL_5;I2;SIL_6;K2;SIL_7;J2
14;9,82126E+14;Gr14_6154-2;1;D;D;C;B;SIL;E2;SIL_1;G2;SIL_2;H2;SIL_3;F2;SIL_4;J2;SIL_5;K2;SIL_6;L2;SIL_7;I2
3;9,002E+14;Gr3_9490-2;1;D;B;C;A;SIL;G2;SIL_1;F2;SIL_2;H2;SIL_3;E2;SIL_4;K1;SIL_5;L1;SIL_6;I1;SIL_7;J1
3;9,82126E+14;Gr3_4334-2;1;A;D;C;B;SIL;F2;SIL_1;G2;SIL_2;E2;SIL_3;H2;SIL_4;K1;SIL_5;J1;SIL_6;I1;SIL_7;L1
3;9,82126E+14;Gr3_4346-2;1;A;D;A;B;SIL;F2;SIL_1;G2;SIL_2;E2;SIL_3;H2;SIL_4;I1;SIL_5;J1;SIL_6;L1;SIL_7;K1
11;9,82126E+14;Gr11_5125-2;1;A;D;D;B;SIL;E2;SIL_1;H2;SIL_2;G2;SIL_3;F2;SIL_4;K1;SIL_5;J1;SIL_6;I1;SIL_7;L1
4;9,82091E+14;Gr4_3072-2;1;C;A;D;D;SIL;F1;SIL_1;E1;SIL_2;G1;SIL_3;H1;SIL_4;L2;SIL_5;I2;SIL_6;J2;SIL_7;K2
4;9,82126E+14;Gr4_6209-2;1;D;A;C;D;SIL;H1;SIL_1;G1;SIL_2;E1;SIL_3;F1;SIL_4;I2;SIL_5;L2;SIL_6;J2;SIL_7;K2
2;9,82126E+14;Gr2_4287-2;1;D;A;A;B;SIL;F2;SIL_1;H2;SIL_2;E2;SIL_3;G2;SIL_4;L1;SIL_5;I1;SIL_6;K1;SIL_7;J1
2;9,82126E+14;Gr2_5093-2;1;D;A;B;A;SIL;F2;SIL_1;E2;SIL_2;G2;SIL_3;H2;SIL_4;K1;SIL_5;I1;SIL_6;L1;SIL_7;J1
9;9,82126E+14;Gr9_4277-3;2;NAN;NAN;NAN;NAN;NAN;E2;SIL_1;F2;SIL_2;G2;SIL_3;H2;SIL_4;L1;SIL_5;K1;SIL_6;I1;SIL_7;J1
9;9,82126E+14;Gr9_4300-3;2;NAN;NAN;NAN;NAN;NAN;E2;SIL_1;F2;SIL_2;H2;SIL_3;G2;SIL_4;I1;SIL_5;K1;SIL_6;L1;SIL_7;J1
9;9,82126E+14;Gr9_5103-3;2;NAN;NAN;NAN;NAN;NAN;G2;SIL_1;E2;SIL_2;H2;SIL_3;F2;SIL_4;L1;SIL_5;J1;SIL_6;K1;SIL_7;I1
9;9,82091E+14;Gr9_7919-3;2;NAN;NAN;NAN;NAN;NAN;E2;SIL_1;F2;SIL_2;G2;SIL_3;H2;SIL_4;J1;SIL_5;L1;SIL_6;I1;SIL_7;K1
5;9,82126E+14;Gr5_5119-3;2;NAN;NAN;NAN;NAN;NAN;F1;SIL_1;H1;SIL_2;E1;SIL_3;G1;SIL_4;I2;SIL_5;J2;SIL_6;K2;SIL_7;L2
5;9,82126E+14;Gr5_4301-3;2;NAN;NAN;NAN;NAN;NAN;E1;SIL_1;F1;SIL_2;G1;SIL_3;H1;SIL_4;J2;SIL_5;I2;SIL_6;K2;SIL_7;L2
7;9,82126E+14;Gr7_5113-3;2;NAN;NAN;NAN;NAN;NAN;H1;SIL_1;G1;SIL_2;E1;SIL_3;F1;SIL_4;L2;SIL_5;K2;SIL_6;J2;SIL_7;I2
8;9,82126E+14;Gr8_6186-3;2;NAN;NAN;NAN;NAN;NAN;F1;SIL_1;H1;SIL_2;E1;SIL_3;G1;SIL_4;K2;SIL_5;L2;SIL_6;J2;SIL_7;I2
6;9,82126E+14;Gr6_6231-3;2;NAN;NAN;NAN;NAN;NAN;E2;SIL_1;G2;SIL_2;F2;SIL_3;H2;SIL_4;K2;SIL_5;J2;SIL_6;L2;SIL_7;I2
1;9,82091E+14;Gr1_4421-3;2;NAN;NAN;NAN;NAN;NAN;G1;SIL_1;E1;SIL_2;F1;SIL_3;H1;SIL_4;I2;SIL_5;J2;SIL_6;K2;SIL_7;L2
